Name,Position,Kill Avg,Death Avg,Assist Avg,Pentakill Avg
86. Rengar Jungler, Top 8.8 / 7.2 / 5.8 0.0019
87. Mordekaiser Top 6.6 / 6.5 / 5.0 0.0010
88. Bard Support 2.9 / 6.2 / 14.7 0.0000
89. Diana Jungler, Mid 7.7 / 7.0 / 7.2 0.0012
90. Nasus Top 5.4 / 5.6 / 5.6 0.0011
91. Alistar Support 2.0 / 6.8 / 14.3 0.0000
92. Nunu & Willump Jungler 5.5 / 6.3 / 12.2 0.0002
93. Zilean Support 2.7 / 5.5 / 14.1 0.0001
94. Janna Support 2.0 / 6.0 / 15.5 0.0000
95. Ahri Mid 6.7 / 5.9 / 7.9 0.0005
96. Syndra Mid 6.7 / 6.3 / 7.2 0.0003
97. Lillia Jungler 7.2 / 6.4 / 8.5 0.0013
98. Jarvan IV Jungler 6.1 / 6.1 / 13.3 0.0005
99. Seraphine Support 3.5 / 6.6 / 13.2 0.0001
100. Kindred Jungler 8.4 / 7.2 / 7.0 0.0027
101. Swain Support 5.8 / 7.7 / 11.4 0.0008
102. Aatrox Top 5.9 / 6.1 / 6.2 0.0016
103. Zyra Support 4.3 / 7.6 / 11.1 0.0001
104. Ryze Mid, Top 5.3 / 6.1 / 6.8 0.0007
105. Anivia Mid 6.4 / 5.8 / 8.0 0.0008
106. Kayle Top 5.8 / 6.4 / 6.1 0.0049
107. Amumu Jungler, Support 4.3 / 6.8 / 11.9 0.0001
108. Corki Mid 8.2 / 6.7 / 7.1 0.0054
109. Evelynn Jungler 9.3 / 6.1 / 7.0 0.0008
110. Ziggs AD Carry 5.8 / 6.2 / 8.8 0.0004
111. Zoe Mid 6.9 / 6.3 / 7.7 0.0003
112. Fiddlesticks Jungler 6.2 / 6.2 / 9.5 0.0005
113. Renekton Top 5.6 / 6.1 / 6.0 0.0006
114. Malzahar Mid 5.1 / 6.3 / 8.0 0.0004
115. Pantheon Support 7.0 / 7.7 / 8.4 0.0010
116. Orianna Mid 5.4 / 5.9 / 9.7 0.0006
117. Galio Mid, Support 4.2 / 6.7 / 11.6 0.0000
118. Karthus Jungler 8.3 / 8.0 / 10.0 0.0010
119. Lissandra Mid 5.8 / 6.5 / 9.1 0.0010
120. Vel'Koz Support, Mid 5.6 / 6.7 / 9.4 0.0002
121. Ornn Top 4.2 / 5.7 / 9.4 0.0002
122. Sivir AD Carry 6.7 / 6.4 / 8.9 0.0029
123. Urgot Top 6.7 / 6.4 / 5.6 0.0012
124. Fizz Mid 9.1 / 6.5 / 6.2 0.0025
125. Braum Support 1.7 / 6.2 / 15.4 0.0002
126. Sona Support 2.6 / 6.1 / 15.4 0.0000
127. Singed Top 4.7 / 7.0 / 9.3 0.0005
